Grupp A;;;;;;
Turkiet;0;2;Italien;C.Immobile;L.Insigne;
Wales;1;2;Schweiz;X. Shaqiri;B. Embolo;A. Ramsey
Turkiet;2;1;Wales;G. Bale;B. Yilmaz;H. Calhanoglu
Italien;1;0;Schweiz;C.Immobile;;
Italien;2;0;Wales;C.Immobile;A.Belloti;
Turkiet;1;2;Schweiz;H. Seferovic;S. Zuber;O. Tufan
;;P;+;-;;Obs detta �r bara sammanfattningar har jag skrivit fel nedan s� �r det ovan som g�ller och det g�ller alla grupper
;Italien;9;5;0;;
;Schweiz;6;4;3;;
;Turkiet;3;3;5;;
;Wales;0;2;6;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Grupp B;;;;;;
Denmark;2;0;Finland;Y. Poulsen;C. Eriksen;
Belgien;2;0;Ryssland;R. Lukaku;Y. Carrasco;
Finland;1;2;Ryssland;A. Dzyuba;A. Golovin;T. Pukki
Denmark;1;2;Belgien;E. Hazard;T. Hazard;P. H�jbjerg
Finland;0;3;Belgien;R. Lukaku;R. Lukaku;D. Mertens
Denmark;1;0;Ryssland;Y. Poulsen;;
;;P;+;-;;
;Belgien;9;7;1;;
;Denmark;6;4;2;;
;Ryssland;3;2;4;;
;Finland;0;1;7;;
;;;;;;
;;;;;;
;;;;;;
Grupp C;;;;;;
Österrike;2;0;Nordmakedonien;D. Alaba;M.Sabitzer;
Nederländerna;2;1;Ukraina;G. Wijnaldum;F. De Jong;R.  Malinovskyi
Nederländerna;2;1;Österrike;M.Depay;L. De Jong;M. Arnautovi?
Ukraina;2;0;Nordmakedonien;A. Yarmolenko;R.Yaremchuck;
Österrike;1;1;Ukraina;S.Kalajdzic;T. Stepanenko;
Nederländerna;3;0;Nordmakedonien;M.Depay;M.Depay;S. Berghuis
;;P;+;-;;
;Nederl�nderna;9;7;2;;
;Ukraina;4;4;3;;Ukraina vinner p� minst kort eller vad man nu r�knar p� n�r allt annat �r lika
;�sterrike;4;4;3;;
;Nordmakedonien;0;0;7;;
;;;;;;
;;;;;;
Grupp D;;;;;;
England;2;1;Kroatien;H. Kane;J. Sancho;M. Kova?i?
Skottland;0;1;Tjeckien;V. Darida;;
Kroatien;2;0;Tjeckien;I. Perisic;A. Rebic;
Skottland;0;3;England;H. Kane;R. Sterling;M. Rashford
Kroatien;2;0;Skottland;I. Perisic;A. Kramari?;
England;2;0;Tjeckien;H. Kane;R. Sterling;
;;P;+;-;;
;England;9;7;1;;
;Kroatien;6;5;2;;
;Tjeckien;3;1;4;;
;Skottland;0;0;6;;
;;;;;;
;;;;;;
;;;;;;
Grupp E;;;;;;
Spanien;1;0;Sverige;A. Morata;;
Polen;2;0;Slovakien;R. Lewandowski;R. Lewandowski;
Sverige;2;0;Slovakien;A. Isak;M. Berg;
Spanien;2;1;Polen;A. Morata;Koke;K. Linetty
Sverige;1;1;Polen;P. Zielinski;E. Forsberg;
Spanien;3;0;Slovakien;A. Morata;F. Torres;D. Olmo
;;P;+;-;;
;Spanien;9;6;1;;
;Polen;4;4;3;;
;Sverige;4;3;2;;
;Slovakien;0;0;7;;
;;;;;;
Grupp F;;;;;;
Ungern;0;3;Portugal;C. Ronaldo;C. Ronaldo;C. Ronaldo
Frankrike;2;1;Tyskland;A. Griezmann;T. M�ller;P. Pogba
Ungern;0;3;Frankrike;K. Mbapp�;K. Mbapp�;A. Griezmann
Portugal;1;1;Tyskland;C. Ronaldo;T. Werner;
Ungern;0;2;Tyskland;S. Gnabry;S. Gnabry;
Frankrike;1;0;Portugal;K.Benzema;;
;;P;+;-;;
;Frankrike;9;6;1;;
;Portugal;4;4;2;;
;Tyskland;4;4;3;;
;Ungern;0;0;8;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;FECA �r de grupper med 3:or som kvallar;;
;;;;Obs Turkiet har mer m�l (om man inte g�r p� det s� antar jag att de f�r mindre kort);;
